epoch,exp_it,exp_iter,seg_and_cls,use_seg_ratio,case_id,s_acc,s_acc_fg,s_iou,s_bach,s_f1mic,s_f1mac
100,0,4,1,0.2,A04,0.6290759743381463,0.5773477518497439,0.17172425563558705,0.529992590062403,0.6290759743381463,0.3170168707680259
100,0,4,1,0.2,A05,0.7423706112632377,0.7745201644580739,0.23183740140463474,0.4677559262830425,0.7423706112632376,0.46331907056780225
100,0,4,1,0.2,A06,0.8557999233912156,0.7089084672623164,0.24366584609764277,0.6282502474245086,0.8557999233912156,0.4732554686722577
100,0,4,1,0.2,A07,0.6786853902953587,0.5872190881346527,0.18179323739435346,0.4269666661399114,0.6786853902953587,0.38969743489976993
100,0,4,1,0.2,A08,0.49574295482695435,0.7916061007094353,0.06889521781436438,0.11876538473833953,0.49574295482695435,0.2553472306975329
100,0,4,1,0.2,A09,0.8985945389637539,0.639643572943893,0.2516381160107756,0.5639638692139977,0.8985945389637539,0.5125840547839409
100,0,4,1,0.2,A10,0.8068303492739427,0.8260024713010204,0.13936618785708874,0.3965556507867908,0.8068303492739427,0.3770462843233776
90,0,4,1,0.2,A04,0.7531504014499721,0.7891410979458788,0.23269537786663444,0.7192356417567776,0.7531504014499721,0.37800377674800745
90,0,4,1,0.2,A05,0.7438975128397484,0.8057109701191962,0.24075156983427445,0.4845008106450839,0.7438975128397484,0.4719142219664033
90,0,4,1,0.2,A06,0.8526930115764385,0.6889850903156206,0.24336253293716092,0.6348609009299322,0.8526930115764385,0.4738846464821308
90,0,4,1,0.2,A07,0.7697647459563994,0.8177492903840818,0.23921065049147008,0.5964264391259049,0.7697647459563994,0.443744581951924
90,0,4,1,0.2,A08,0.4869179351219662,0.8247456229796282,0.05350068277090412,0.12494411703344188,0.4869179351219662,0.23480665019081043
90,0,4,1,0.2,A09,0.9019333703957253,0.7075006739413261,0.3173808963978989,0.5898025921177062,0.9019333703957253,0.5739268856248443
90,0,4,1,0.2,A10,0.8103564998767908,0.8190901360544217,0.157899670416734,0.402559259832445,0.8103564998767908,0.4020587477473033
91,0,4,1,0.2,A04,0.7149584321071565,0.7112930097790655,0.2142716974650396,0.6703899069189937,0.7149584321071566,0.3635398795652628
91,0,4,1,0.2,A05,0.7451005121007299,0.7493011329422602,0.23454809708841506,0.47265233911961047,0.7451005121007299,0.46998008108926576
91,0,4,1,0.2,A06,0.8360341476563387,0.6147444054106387,0.21822247472788966,0.5878350817196596,0.8360341476563387,0.45351994064916834
91,0,4,1,0.2,A07,0.7374846167369902,0.6963541036786205,0.21191818621426253,0.5275167468661839,0.7374846167369902,0.4212613348389971
91,0,4,1,0.2,A08,0.4932073237725754,0.8021933916212874,0.04867184477781622,0.12377509714575474,0.4932073237725754,0.23032093491272623
91,0,4,1,0.2,A09,0.9032028338946295,0.668400356309849,0.3062935105000119,0.5832678358805164,0.9032028338946295,0.5649080030459371
91,0,4,1,0.2,A10,0.826495588584778,0.78103409332483,0.15791672822284453,0.4115068272128932,0.826495588584778,0.40337955610130893
92,0,4,1,0.2,A04,0.6646376589360609,0.6409758369120919,0.19452506381898257,0.6375748898382716,0.6646376589360609,0.35127090553974677
92,0,4,1,0.2,A05,0.7167609209994806,0.7386695804404956,0.20666669294030116,0.5003853820598007,0.7167609209994806,0.43587006029849307
92,0,4,1,0.2,A06,0.8271900004256043,0.6059981051699814,0.21966956451709407,0.607991647946081,0.8271900004256043,0.4593283785403939
92,0,4,1,0.2,A07,0.7106507120253165,0.6618344016105969,0.20733567705673353,0.5219708309124962,0.7106507120253165,0.41599701117165305
92,0,4,1,0.2,A08,0.47584304934265526,0.7360228234222116,0.04887947326150014,0.20003666536971298,0.47584304934265526,0.2272322461739641
92,0,4,1,0.2,A09,0.8873379860418744,0.6391278613204562,0.2877716663329262,0.573607163128315,0.8873379860418744,0.552346509936443
92,0,4,1,0.2,A10,0.7939547695111182,0.7147474224064626,0.14014476688068303,0.4265181774835265,0.7939547695111182,0.3814266085738609
93,0,4,1,0.2,A04,0.6723009189419182,0.6273260205929528,0.1911800648329396,0.5950944969363161,0.6723009189419182,0.3421334709960286
93,0,4,1,0.2,A05,0.7418791732672623,0.7869841244521719,0.2323104629755596,0.4813969463637312,0.7418791732672623,0.4633914559380031
93,0,4,1,0.2,A06,0.8533788552661445,0.6793881911980305,0.24221272476620348,0.6328185126822128,0.8533788552661444,0.4733023217039241
93,0,4,1,0.2,A07,0.6984682665260197,0.6275323862302499,0.20264956347003338,0.46691454651237263,0.6984682665260197,0.4126012842323352
93,0,4,1,0.2,A08,0.5009182865702402,0.784208014232096,0.06415368593791296,0.13202963336197193,0.5009182865702402,0.2517033363787106
93,0,4,1,0.2,A09,0.8937009248751442,0.6563485272916936,0.2731239409102367,0.5620925967282457,0.8937009248751442,0.5362892724641487
93,0,4,1,0.2,A10,0.8107103426443235,0.798871306335034,0.1546597632000406,0.40411718778009265,0.8107103426443236,0.3982106747067997
94,0,4,1,0.2,A04,0.6554720698020103,0.6031225746365189,0.1824194792776805,0.5648501142808979,0.6554720698020103,0.33180891782316585
94,0,4,1,0.2,A05,0.7386736572480589,0.7993404130593429,0.23167222605529217,0.4731801734527461,0.7386736572480589,0.461207366655661
94,0,4,1,0.2,A06,0.8577563734252639,0.7173383862133828,0.24636964110615034,0.6394838027399989,0.8577563734252639,0.47507639774530763
94,0,4,1,0.2,A07,0.690276678973277,0.6345453122665737,0.18977691968858754,0.4557956712740453,0.690276678973277,0.3962690524432064
94,0,4,1,0.2,A08,0.48298845338874613,0.8208404746924696,0.06820636992452313,0.12277889465371694,0.48298845338874613,0.2514300199260164
94,0,4,1,0.2,A09,0.8910324326559492,0.6656225459745192,0.2615390007524403,0.54999237828115,0.8910324326559492,0.5260156369523468
94,0,4,1,0.2,A10,0.8019431974933726,0.8338083280187075,0.14653830586811786,0.3930116301386368,0.8019431974933725,0.3869451732275073
95,0,4,1,0.2,A04,0.6726970503235361,0.6662560149014333,0.19610531580364507,0.6152915089753569,0.6726970503235361,0.34146461976579495
95,0,4,1,0.2,A05,0.7171960483917506,0.810821373169088,0.22069388292846284,0.47181437806487336,0.7171960483917506,0.4466253619576862
95,0,4,1,0.2,A06,0.847225325587334,0.719774349257282,0.24435763529132734,0.6271391942120014,0.847225325587334,0.47564830310633455
95,0,4,1,0.2,A07,0.7284365110759494,0.7587263194587711,0.22146224602916634,0.5401539155921697,0.7284365110759494,0.42532624571791516
95,0,4,1,0.2,A08,0.4552969737915127,0.805979215933005,0.06165427485369814,0.14324565296664027,0.4552969737915127,0.23713727493333173
95,0,4,1,0.2,A09,0.8867191053567408,0.6828344214067207,0.2704705863280541,0.5512886039890237,0.8867191053567408,0.5349838739858448
95,0,4,1,0.2,A10,0.7902247318117364,0.8412620907738095,0.14909779895896694,0.40280823317920555,0.7902247318117362,0.3889646388358031
96,0,4,1,0.2,A04,0.5137288706905603,0.3766880529828737,0.11616451969136403,0.38893177748387775,0.5137288706905603,0.26741699763655635
96,0,4,1,0.2,A05,0.77148365875588,0.6803196643842991,0.22620433446563762,0.5021687149433802,0.77148365875588,0.46392514413823316
96,0,4,1,0.2,A06,0.8440297461979344,0.5730010926392077,0.22430438530365607,0.5875380573783783,0.8440297461979342,0.4623209596786759
96,0,4,1,0.2,A07,0.631209344233474,0.34487547040954974,0.1339483927426547,0.2913722458020118,0.631209344233474,0.34880561091568113
96,0,4,1,0.2,A08,0.6008665076619136,0.6520512876141713,0.05409882017956221,0.18540201471110107,0.6008665076619136,0.2616178765811579
96,0,4,1,0.2,A09,0.9060679712016025,0.5783266329891349,0.29879098308243696,0.556356709580974,0.9060679712016025,0.5611566835134074
96,0,4,1,0.2,A10,0.833651367972801,0.6194761107568028,0.15524499898788038,0.4123178140707533,0.833651367972801,0.40652171509517676
97,0,4,1,0.2,A04,0.6514447916493985,0.6407993998033839,0.18733228025641105,0.5896400316291441,0.6514447916493985,0.3302314772401934
97,0,4,1,0.2,A05,0.7373743249708209,0.8054637247121784,0.23415928926824592,0.4835816724823716,0.737374324970821,0.4641430874726912
97,0,4,1,0.2,A06,0.8541515931789808,0.7000031119471107,0.24530189130142635,0.6335705188176329,0.8541515931789808,0.4756472199449165
97,0,4,1,0.2,A07,0.7089118539029536,0.6551416030561503,0.20353501392188722,0.48656747559316327,0.7089118539029535,0.41248755928233083
97,0,4,1,0.2,A08,0.4979535815308814,0.7856507495715185,0.05579449451826662,0.13664089940276047,0.4979535815308814,0.2404719928857872
97,0,4,1,0.2,A09,0.9018874252817584,0.6832827388975492,0.3036926661433151,0.5828350842529997,0.9018874252817584,0.5622229246451143
97,0,4,1,0.2,A10,0.8115618453141483,0.8082981239370748,0.16624848269291956,0.41969723792512204,0.8115618453141483,0.4116760744818593
98,0,4,1,0.2,A04,0.7307270167818798,0.7726631137786516,0.22289678683748207,0.6891952671798489,0.7307270167818798,0.36575359490124576
