epoch,exp_it,exp_iter,seg_and_cls,use_seg_ratio,case_id,s_cfs
1,8,4,0,0.0,A02,"[0.0, 0.0, 0.0586374559520648, 0.03286641156738948]"
1,8,4,0,0.0,A03,"[0.0, 0.0, 0.09693473794260074, 0.013814249447759715]"
1,8,4,0,0.0,A04,"[0.0, 0.0, 0.0, 0.011330181013397361]"
1,8,4,0,0.0,A05,"[0.0, 0.012226105969850484, 0.02478096108871501, 0.009339232427615323]"
1,8,4,0,0.0,A07,"[0.0, 0.0, 0.0, 0.01686948989143951]"
1,8,4,0,0.0,A09,"[0.0, 0.0, 0.2535231861074558, 0.03287731930213237]"
1,8,4,0,0.0,A10,"[0.0, 0.0, 0.02284436412045462, 0.0537906679911921]"
1,10,2,1,0.0,A02,"[0.0, 0.1733193800767429, 0.12498935530215832, 0.5708879147764921]"
1,10,2,1,0.0,A03,"[0.0, 0.0, 0.2146272394427215, 0.1839552479208043]"
1,10,2,1,0.0,A04,"[0.0, 0.0, 0.0, 0.8345845923216744]"
1,10,2,1,0.0,A05,"[0.0, 0.1121308075996189, 0.07074930316445319, 0.5733255024572252]"
1,10,2,1,0.0,A07,"[0.0, 0.23767232553156023, 0.0, 0.7486243766900692]"
1,10,2,1,0.0,A09,"[0.0, 0.04758025093693987, 0.3783882253976929, 0.5841387237373656]"
1,10,2,1,0.0,A10,"[0.0, 0.0, 0.009392201912128337, 0.4220049357583207]"
1,17,2,2,0.0,A02,"[0.0, 0.07080577269993986, 0.08220613492237526, 0.45795650527909815]"
1,17,2,2,0.0,A03,"[0.0, 0.0, 0.1615375111869126, 0.4125367647058824]"
1,17,2,2,0.0,A04,"[0.0, 0.0, 0.0, 0.7865628100492661]"
1,17,2,2,0.0,A05,"[0.0, 0.05780767830103693, 0.051171039705685206, 0.49438909771851736]"
1,17,2,2,0.0,A07,"[0.0, 0.09246352226770414, 0.0, 0.7662468661258232]"
1,17,2,2,0.0,A09,"[0.0, 0.07601286874965921, 0.33420199619336255, 0.4722648563318341]"
1,17,2,2,0.0,A10,"[0.0, 0.0, 0.019419515147829882, 0.25858988722731463]"
1,33,1,1,0.0,A02,"[0.0, 0.15985414338646123, 0.15161220825852784, 0.25316823337959365]"
1,33,1,1,0.0,A03,"[0.0, 0.0, 0.1995376445814386, 0.29785235894520923]"
1,33,1,1,0.0,A04,"[0.0, 0.0, 0.0, 0.3914327611689565]"
1,33,1,1,0.0,A05,"[0.0, 0.05285946608006751, 0.05478811414634435, 0.2765980941023178]"
1,33,1,1,0.0,A07,"[0.0, 0.13966266736219787, 0.0, 0.5748241141945953]"
1,33,1,1,0.0,A09,"[0.0, 0.07837290662510273, 0.3898989898989899, 0.25267013901314656]"
1,33,1,1,0.0,A10,"[0.0, 0.0, 0.03019773413207461, 0.2547272309119795]"
1,40,5,2,0.0,A02,"[0.0, 0.1664788951263573, 0.12336946988036349, 0.6062914476794485]"
1,40,5,2,0.0,A03,"[0.0, 0.0, 0.3396563486872182, 0.23187019520317426]"
1,40,5,2,0.0,A04,"[0.0, 0.0, 0.0, 0.8123517113998273]"
1,40,5,2,0.0,A05,"[0.0, 0.07047213861403617, 0.13616893112910783, 0.5269656589598094]"
1,40,5,2,0.0,A07,"[0.0, 0.22789423048890703, 0.0, 0.7788486950613859]"
1,40,5,2,0.0,A09,"[0.0, 0.05738936307710384, 0.35050887536148523, 0.532668468994332]"
1,40,5,2,0.0,A10,"[0.0, 0.0, 0.0008418453249522955, 0.3831728373775237]"
1,51,4,2,0.0,A02,"[0.0, 0.22340837007813102, 0.2117172652902751, 0.5662777529036847]"
